numero_da_ocorrencia,classificacao_da_ocorrencia,data_da_ocorrencia,municipio,uf,regiao,tipo_de_ocorrencia,categoria_da_aeronave,fase_da_operacao,tipo_de_operacao,danos_a_aeronave,modelo,nome_do_fabricante,lesoes_fatais,lesoes_graves,lesoes_leves,ilesos,lesoes_desconhecidas,ano_da_ocorrencia,categoria_descritivo,danos_aeronave
3315,Acidente,2012-06-16,AURIFLAMA,SP,Sudeste,INDETERMINADO,TPP,Indeterminada,Voo Privado,Não informado,R44 II,ROBINSON HELICOPTER,0,0.0,0,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
3308,Incidente Grave,2012-07-01,,PR,Sul,PERDA DE CONTROLE NO SOLO,PRI,Decolagem,Voo de Instrução,Nenhum,AB-115,AERO BOERO,0,0.0,0,0,0,2012,Privada Instrução (Aeroclubes e Escolas de Aviação),3 - Nenhum
3299,Incidente Grave,2012-07-29,,SP,Sudeste,PERDA DE CONTROLE NO SOLO,PRI,Corrida após pouso,Voo de Instrução,Não informado,152,CESSNA AIRCRAFT,0,0.0,0,0,0,2012,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
3310,Acidente,2012-07-28,JUIZ DE FORA,MG,Sudeste,VOO CONTROLADO CONTRA O TERRENO,TPP,Aproximação,Voo Privado,Não informado,B200,HAWKER BEECHCRAFT,8,0.0,0,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
3305,Acidente,2012-07-26,IPIGUÁ,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,TPP,Em rota,Voo Privado,Não informado,PA-28-140,PIPER AIRCRAFT,0,0.0,3,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
3292,Acidente,2012-07-24,MARICÁ,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PRI,Subida,Voo de Instrução,Não informado,AB-115,AERO BOERO,0,0.0,0,2,0,2012,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
3288,Incidente Grave,2012-07-23,,SP,Sudeste,PERDA DE CONTROLE NO SOLO,TPP,Corrida após pouso,Voo Privado,Não informado,525A,CESSNA AIRCRAFT,0,0.0,0,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
3286,Acidente,2012-07-22,BEBEDOURO,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PRI,Aproximação,Voo de Instrução,Não informado,IPE-02B,IPE,1,2.0,0,0,0,2012,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
3285,Incidente Grave,2012-07-21,,PI,Nordeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,TPP,Em rota,Voo Privado,Não informado,AS 350 B3,HELIBRAS,0,0.0,0,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
3274,Acidente,2012-07-14,UAUÁ,BA,Nordeste,PERDA DE CONTROLE EM VOO,PET,Decolagem,Voo Privado,Não informado,,,2,0.0,0,0,0,2012,Protótipo Experimental,1 - Não informado
3276,Acidente,2012-07-16,SANTA FÉ DO SUL,SP,Sudeste,PERDA DE CONTROLE NO SOLO,PRI,Decolagem,Voo de Instrução,Substancial,AB-115,AERO BOERO,0,0.0,0,1,0,2012,Privada Instrução (Aeroclubes e Escolas de Aviação),5 - Substancial
3266,Acidente,2012-07-12,ANGRA DOS REIS,RJ,Sudeste,VOO CONTROLADO CONTRA O TERRENO,TPX,Voo a baixa altura,Táxi Aéreo,Não informado,EMB-121A1,EMBRAER,3,0.0,0,0,0,2012,Particular Experimental,1 - Não informado
3265,Incidente Grave,2012-07-12,,MG,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,TPP,Decolagem,Voo Privado,Não informado,T210M,CESSNA AIRCRAFT,0,0.0,0,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
3262,Acidente,2012-07-11,SÃO PAULO,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,PRI,Em rota,Voo de Instrução,Não informado,R22,ROBINSON HELICOPTER,2,0.0,0,0,0,2012,Privada Instrução (Aeroclubes e Escolas de Aviação),1 - Não informado
3257,Acidente,2012-07-09,BOITUVA,SP,Sudeste,OUTROS,TPP,Em rota,Voo Privado,Não informado,208,CESSNA AIRCRAFT,1,2.0,0,1,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),1 - Não informado
3455,Acidente,2012-09-09,ACREÚNA,GO,Centro-Oeste,PERDA DE CONTROLE EM VOO,TPP,Decolagem,Voo Privado,Destruída,,,4,0.0,0,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),6 - Destruída
3454,Incidente Grave,2012-09-09,JUNDIAÍ,SP,Sudeste,PERDA DE CONTROLE NO SOLO,PRI,Pouso,Voo de Instrução,Nenhum,152,CESSNA AIRCRAFT,0,0.0,0,1,0,2012,Privada Instrução (Aeroclubes e Escolas de Aviação),3 - Nenhum
3451,Acidente,2012-09-09,MACAPÁ,AP,Norte,OUTROS,TPP,Indeterminada,Voo Privado,Destruída,172R,CESSNA AIRCRAFT,1,0.0,0,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),6 - Destruída
3449,Acidente,2012-08-17,ATIBAIA,SP,Sudeste,PERDA DE CONTROLE NO SOLO,PRI,Arremetida,Voo de Instrução,Substancial,DA20-C1,DIAMOND AIRCRAFT,0,0.0,0,2,0,2012,Privada Instrução (Aeroclubes e Escolas de Aviação),5 - Substancial
3447,Acidente,2012-07-26,SÃO PAULO,SP,Sudeste,PERDA DE CONTROLE EM VOO,PET,Em rota,Voo Privado,Substancial,ADVENTURE,,1,0.0,0,0,0,2012,Protótipo Experimental,5 - Substancial
3442,Acidente,2012-09-07,MIRANDA,MS,Centro-Oeste,COMBUSTÍVEL,TPP,Em rota,Voo Privado,Substancial,T210N,CESSNA AIRCRAFT,0,0.0,1,0,0,2012,Privada (Transporte de Pessoas e Bens sem fins lucrativos),5 - Substancial
